date,open,high,low,close,volume
2023-03-31,27705.0,28910.0,27705.0,28520.0,173.59806043
2023-04-01,28520.0,28637.5,28330.0,28487.5,39.03317766
2023-04-02,28472.5,28482.5,27650.0,27960.0,52.27742228
2023-04-03,28027.5,28550.0,27262.5,28045.0,148.59449557
2023-04-04,28057.5,28827.5,27987.5,28585.0,99.59427899
2023-04-05,28570.0,28812.5,27850.0,27975.0,99.89196529
2023-04-06,27920.0,28180.0,27740.0,27885.0,147.62444011
2023-04-07,27880.0,28165.0,27820.0,28090.0,139.80529668
2023-04-08,28112.5,28137.5,27885.0,27935.0,21.53323973
2023-04-09,27917.5,28550.0,27825.0,28315.0,78.43036285
2023-04-10,28347.5,30502.5,28207.5,30155.0,320.44875967
2023-04-11,30175.0,30610.0,29882.5,30022.5,95.11436374
2023-04-12,30040.0,30515.0,29727.5,30122.5,154.32232103
2023-04-13,30095.0,31025.0,30085.0,30837.5,1029.13415963
2023-04-14,30837.5,30837.5,30837.5,30837.5,0
