date,open,high,low,close,volume
2026-02-20,67855.0,68315.0,66470.0,67870.0,91.6794801
2026-02-21,67890.0,68730.0,67830.0,68007.5,22.30907355
2026-02-22,67982.5,68242.5,64290.0,65932.5,143.14617822
2026-02-23,65915.0,66562.5,62630.0,63075.0,442.92492988
2026-02-24,63092.5,66272.5,62472.5,65005.0,342.4314816
2026-02-25,65007.5,69985.0,64955.0,67782.5,251.20638645
2026-02-26,67792.5,68605.0,66455.0,67670.0,329.13722883
2026-02-27,67627.5,68017.5,62930.0,63777.5,243.64828399
2026-02-28,63752.5,68202.5,63320.0,67135.0,238.09000541
2026-03-01,67145.0,67287.5,65030.0,66000.0,269.67059871
2026-03-02,66002.5,70112.5,65285.0,68165.0,335.43797323
2026-03-03,68157.5,69620.0,66137.5,69525.0,211.10402071
2026-03-04,69530.0,74032.5,69157.5,72062.5,587.9533846
2026-03-05,72032.5,73540.0,70140.0,71022.5,1078.77747608
2026-03-06,71022.5,71022.5,71022.5,71022.5,0
