"Date","Open","High","Low","Close","Volume","OpenInt"
01/04/2000,284.7,284.7,284.7,284.7,0,0
01/05/2000,283.1,283.1,283.1,283.1,0,0
01/06/2000,283.4,283.4,283.4,283.4,0,0
01/07/2000,283.9,283.9,283.9,283.9,0,0
01/10/2000,283.7,283.7,283.7,283.7,0,0
01/11/2000,285.4,285.4,285.4,285.4,0,0
01/12/2000,284.8,284.8,284.8,284.8,0,0
01/13/2000,286.3,286.3,286.3,286.3,0,0
01/14/2000,286.1,286.1,286.1,286.1,0,0
01/18/2000,290.9,290.9,290.9,290.9,100,100
01/19/2000,291.5,291.6,291.5,291.6,2,2
01/20/2000,290.7,290.7,290.7,290.7,0,2
01/21/2000,291.1,291.1,291.1,291.1,0,2
01/24/2000,289.4,289.4,289.4,289.4,0,22
01/25/2000,287.9,287.9,287.9,287.9,0,2
01/26/2000,287.9,287.9,287.9,287.9,0,2
01/27/2000,288.6,288.6,288.6,288.6,0,42
01/28/2000,284.6,284.6,284.6,284.6,0,2
01/31/2000,284.8,284.8,284.8,284.8,0,2
02/01/2000,284.0,284.0,284.0,284.0,1,1
02/02/2000,287.0,287.0,286.3,286.3,1,2
02/03/2000,288.5,288.5,288.5,288.5,0,2
02/04/2000,311.6,311.6,311.6,311.6,0,2
02/07/2000,317.0,317.0,303.1,303.1,11,6
02/08/2000,302.0,302.0,300.4,300.4,6,5
02/09/2000,307.3,307.3,307.3,307.3,1,6
02/10/2000,317.4,317.4,317.4,317.4,1,51
02/11/2000,310.5,312.1,310.5,312.1,8,4
02/14/2000,308.0,309.5,306.7,309.5,55,28
02/15/2000,306.0,306.0,302.6,302.6,3,27
02/16/2000,301.9,304.0,301.9,303.3,4,24
02/17/2000,305.0,305.0,302.1,302.1,21,23
02/18/2000,305.7,305.7,305.7,305.7,0,23
02/22/2000,303.0,306.1,302.5,306.1,1,24
02/23/2000,305.4,305.4,300.8,300.8,10,24
02/24/2000,299.5,299.5,299.3,299.3,18,24
02/25/2000,293.0,293.0,293.0,293.0,0,23
02/28/2000,292.3,292.5,292.3,292.5,4,23
02/29/2000,292.4,292.4,292.4,292.4,7,8
03/01/2000,291.5,291.5,291.5,291.5,7,7
03/02/2000,288.2,288.2,288.2,288.2,100,7
03/03/2000,288.8,288.8,288.8,288.8,10,17
03/06/2000,287.9,287.9,287.9,287.9,0,17
03/07/2000,292.2,292.2,292.2,292.2,0,17
03/08/2000,288.9,288.9,288.9,288.9,100,80
03/09/2000,291.2,291.2,291.2,291.2,1,20
03/10/2000,288.6,288.6,288.6,288.6,4,4
03/13/2000,290.1,290.1,290.1,290.1,0,4
03/14/2000,288.3,288.3,288.3,288.3,0,0
03/15/2000,288.7,288.7,288.7,288.7,0,0
03/16/2000,286.1,286.1,286.1,286.1,1,1
03/17/2000,284.1,284.1,284.1,284.1,0,1
03/20/2000,285.6,285.6,285.6,285.6,0,0
03/21/2000,289.8,289.8,289.8,289.8,0,0
03/22/2000,287.8,287.8,287.8,287.8,0,0
03/23/2000,284.9,284.9,284.9,284.9,0,0
03/24/2000,284.7,284.7,284.7,284.7,0,0
03/27/2000,280.1,280.1,280.1,280.1,0,0
03/28/2000,279.2,279.2,279.2,279.2,0,0
03/29/2000,275.8,275.8,275.8,275.8,0,0
