"Date","Open","High","Low","Close","Volume","OpenInt"
09/05/2000,278.4,278.4,278.4,278.4,0,0
09/06/2000,276.6,276.6,276.6,276.6,0,0
09/07/2000,276.4,276.4,276.4,276.4,0,0
09/08/2000,275.5,275.5,275.5,275.5,0,0
09/11/2000,275.4,275.4,275.4,275.4,0,0
09/12/2000,275.2,275.2,275.2,275.2,0,0
09/13/2000,275.1,275.1,275.1,275.1,0,0
09/14/2000,274.6,274.6,274.6,274.6,0,0
09/15/2000,274.4,274.4,274.4,274.4,0,0
09/18/2000,273.5,273.5,273.5,273.5,0,0
09/19/2000,274.0,274.0,274.0,274.0,0,0
09/20/2000,271.1,271.1,271.1,271.1,0,0
09/21/2000,272.1,272.1,272.1,272.1,0,0
09/22/2000,276.0,276.0,273.7,273.7,2,2
09/25/2000,275.9,275.9,275.9,275.9,0,2
09/26/2000,275.8,275.8,275.8,275.8,0,2
09/27/2000,280.1,280.1,280.1,280.1,0,2
09/28/2000,277.4,277.4,277.4,277.4,0,2
09/29/2000,275.4,275.4,275.4,275.4,0,2
10/02/2000,274.8,274.8,274.8,274.8,0,2
10/03/2000,273.3,273.3,273.3,273.3,0,2
10/04/2000,271.7,271.7,271.7,271.7,0,2
10/05/2000,271.0,271.9,271.0,271.9,1,2
10/06/2000,270.6,270.6,270.6,270.6,0,2
10/09/2000,270.8,271.4,270.8,271.4,1,1
10/10/2000,273.6,273.6,273.6,273.6,0,1
10/11/2000,271.6,271.6,271.6,271.6,0,1
10/12/2000,277.5,277.5,277.5,277.5,0,1
10/13/2000,273.5,273.5,273.5,273.5,0,1
10/16/2000,272.6,272.6,272.6,272.6,0,1
10/17/2000,272.1,272.1,272.1,272.1,0,1
10/18/2000,271.3,271.3,271.3,271.3,0,1
10/19/2000,271.0,271.0,271.0,271.0,0,1
10/20/2000,272.0,272.0,272.0,272.0,0,1
10/23/2000,270.8,270.8,270.8,270.8,0,1
10/24/2000,270.8,270.8,270.8,270.8,0,1
10/25/2000,266.6,266.6,266.6,266.6,0,1
10/26/2000,265.3,265.3,265.3,265.3,0,1
10/27/2000,264.4,264.4,264.4,264.4,1,2
10/30/2000,264.3,264.3,264.3,264.3,1,2
10/31/2000,264.5,265.0,264.5,264.9,2,1
11/01/2000,263.9,263.9,263.9,263.9,0,0
11/02/2000,264.4,264.4,264.4,264.4,0,0
11/03/2000,264.6,264.6,264.6,264.6,0,0
11/06/2000,264.5,264.5,264.5,264.5,0,0
11/07/2000,264.3,264.3,264.3,264.3,0,0
11/08/2000,265.0,265.0,265.0,265.0,0,0
11/09/2000,265.8,265.8,265.8,265.8,0,0
11/10/2000,264.5,264.5,264.5,264.5,0,0
11/13/2000,264.3,264.3,264.3,264.3,0,0
11/14/2000,264.9,264.9,264.9,264.9,100,100
11/15/2000,265.1,265.1,265.1,265.1,0,0
11/16/2000,265.8,265.8,265.8,265.8,0,0
11/17/2000,265.2,265.7,265.2,265.7,3,2
11/20/2000,266.3,266.3,266.3,266.3,7,7
11/21/2000,265.7,265.7,265.7,265.7,0,2
11/22/2000,266.3,266.3,266.3,266.3,0,0
11/27/2000,270.1,270.1,270.1,270.1,0,0
11/28/2000,269.8,269.8,269.8,269.8,0,0
