"Date","Open","High","Low","Close","Volume","OpenInt"
11/02/2000,267.2,267.2,267.2,267.2,0,0
11/03/2000,267.4,267.4,267.4,267.4,0,0
11/06/2000,267.3,267.3,267.3,267.3,0,0
11/07/2000,266.8,266.8,266.8,266.8,0,0
11/08/2000,267.5,267.5,267.5,267.5,0,0
11/09/2000,268.3,268.3,268.3,268.3,0,0
11/10/2000,266.9,266.9,266.9,266.9,0,0
11/13/2000,266.7,266.7,266.7,266.7,0,0
11/14/2000,266.8,266.8,266.8,266.8,0,0
11/15/2000,267.0,267.0,267.0,267.0,0,0
11/16/2000,267.7,267.7,267.7,267.7,0,0
11/17/2000,267.6,267.6,267.6,267.6,0,0
11/20/2000,268.2,268.2,268.2,268.2,0,0
11/21/2000,267.4,267.4,267.4,267.4,0,0
11/22/2000,268.0,268.0,268.0,268.0,0,0
11/27/2000,271.7,271.7,271.7,271.7,0,0
11/28/2000,271.2,271.2,271.2,271.2,0,0
11/29/2000,268.0,268.0,268.0,268.0,0,0
11/30/2000,271.7,271.7,271.7,271.7,0,0
12/01/2000,270.3,270.3,270.3,270.3,0,0
12/04/2000,271.8,272.5,271.8,272.2,3,1
12/05/2000,271.7,271.7,271.7,271.7,0,1
12/06/2000,275.7,275.7,275.7,275.7,0,1
12/07/2000,276.1,276.1,274.6,274.6,1,0
12/08/2000,272.5,273.6,272.5,273.6,31,31
12/11/2000,271.6,271.6,271.6,271.6,0,0
12/12/2000,271.7,271.7,271.7,271.7,0,0
12/13/2000,269.7,269.7,269.7,269.7,0,0
12/14/2000,270.0,270.0,270.0,270.0,0,0
12/15/2000,271.4,271.4,271.4,271.4,0,0
12/18/2000,270.5,270.5,270.5,270.5,0,0
12/19/2000,270.5,270.5,270.5,270.5,0,0
12/20/2000,273.2,273.2,273.2,273.2,0,0
12/21/2000,274.2,274.2,274.2,274.2,0,0
12/22/2000,274.0,274.0,274.0,274.0,0,0
12/26/2000,275.0,275.0,274.4,274.4,2,0
12/27/2000,275.2,275.2,275.2,275.2,0,0
12/28/2000,273.2,273.2,271.7,271.7,1,1
12/29/2000,272.0,272.0,272.0,272.0,0,1
01/02/2001,268.4,268.4,268.4,268.4,0,1
01/03/2001,268.0,268.0,268.0,268.0,0,1
01/04/2001,267.3,267.3,267.3,267.3,1,1
01/05/2001,268.0,268.0,268.0,268.0,0,0
01/08/2001,268.0,268.0,268.0,268.0,0,0
01/09/2001,267.5,267.5,267.5,267.5,0,0
01/10/2001,264.7,264.7,264.7,264.7,0,0
01/11/2001,264.0,264.0,264.0,264.0,0,0
01/12/2001,263.9,263.9,263.9,263.9,0,0
01/16/2001,263.3,263.3,263.3,263.3,0,0
01/17/2001,263.2,263.2,263.2,263.2,0,0
01/18/2001,264.2,264.2,264.2,264.2,0,0
01/19/2001,264.3,264.3,264.3,264.3,0,0
01/22/2001,266.4,266.4,266.4,266.4,0,0
01/23/2001,266.1,266.1,266.1,266.1,0,0
01/24/2001,264.3,264.3,264.3,264.3,0,0
01/25/2001,264.5,264.5,264.5,264.5,0,0
01/26/2001,262.8,262.8,262.8,262.8,0,0
01/29/2001,262.8,262.8,262.8,262.8,0,0
