"Date","Open","High","Low","Close","Volume","OpenInt"
01/02/1998,329.3,329.3,329.3,329.3,0,2147
01/05/1998,321.5,321.5,321.5,321.5,102,2147
01/06/1998,320.3,320.3,320.3,320.3,0,2147
01/07/1998,323.2,323.2,323.2,323.2,0,2147
01/08/1998,319.5,319.5,319.5,319.5,0,2147
01/09/1998,315.6,315.6,315.6,315.6,100,2147
01/12/1998,314.4,314.4,314.4,314.4,0,2147
01/13/1998,319.2,319.2,319.2,319.2,0,2147
01/14/1998,318.1,318.1,318.1,318.1,0,2147
01/15/1998,322.3,322.3,322.3,322.3,0,2147
01/16/1998,327.1,327.1,327.1,327.1,0,2147
01/20/1998,327.1,327.1,327.1,327.1,0,2147
01/21/1998,328.8,328.8,328.8,328.8,0,2147
01/22/1998,327.1,327.1,327.1,327.1,0,2147
01/23/1998,336.3,336.3,336.3,336.3,0,2147
01/26/1998,332.5,332.5,332.5,332.5,0,2147
01/27/1998,336.8,336.8,336.8,336.8,0,2147
01/28/1998,342.4,342.4,342.4,342.4,0,2147
01/29/1998,338.6,338.6,338.6,338.6,0,2147
01/30/1998,338.4,338.4,338.4,338.4,0,2147
02/02/1998,340.0,340.0,340.0,340.0,0,2147
02/03/1998,331.6,331.6,331.6,331.6,0,2147
02/04/1998,336.3,336.3,336.3,336.3,0,2147
02/05/1998,335.4,335.4,335.4,335.4,0,2147
02/06/1998,334.8,334.8,334.8,334.8,0,2147
02/09/1998,336.7,336.7,336.7,336.7,0,2147
02/10/1998,342.3,342.3,336.9,336.9,0,2147
02/11/1998,335.6,335.6,335.6,335.6,0,2147
02/12/1998,333.9,333.9,333.9,333.9,0,2147
02/13/1998,334.5,334.5,334.3,334.3,0,2147
02/17/1998,332.1,332.1,332.1,332.1,0,2147
02/18/1998,331.9,331.9,331.9,331.9,0,2147
02/19/1998,333.7,333.7,333.7,333.7,0,2147
02/20/1998,332.4,332.4,332.4,332.4,0,2147
02/23/1998,328.3,328.3,328.3,328.3,0,2147
02/24/1998,327.2,327.2,327.2,327.2,0,2147
02/25/1998,327.5,327.5,327.5,327.5,0,2147
02/26/1998,329.9,329.9,329.9,329.9,0,2147
02/27/1998,334.7,334.7,334.7,334.7,0,2147
03/02/1998,335.3,335.3,335.3,335.3,0,2147
03/03/1998,333.3,333.3,333.3,333.3,0,2147
03/04/1998,332.1,332.1,332.1,332.1,100,2147
03/05/1998,329.5,329.5,329.5,329.5,0,2147
03/06/1998,330.6,330.6,330.6,330.6,15,2152
03/09/1998,330.1,330.1,330.1,330.1,0,2152
03/10/1998,331.6,331.6,331.6,331.6,0,2152
03/11/1998,330.3,330.3,330.3,330.3,0,2152
03/12/1998,330.3,330.3,330.3,330.3,0,2152
03/13/1998,331.1,331.1,331.1,331.1,0,2152
03/16/1998,330.3,330.3,330.3,330.3,0,2152
03/17/1998,327.5,327.5,327.5,327.5,0,2152
03/18/1998,326.6,326.6,326.6,326.6,0,2152
03/19/1998,327.0,327.0,327.0,327.0,0,2152
03/20/1998,327.1,327.1,327.1,327.1,0,2152
03/23/1998,334.4,334.4,334.4,334.4,0,2152
03/24/1998,335.0,335.0,335.0,335.0,0,2152
03/25/1998,334.7,334.7,334.7,334.7,0,2152
03/26/1998,337.1,337.1,337.1,337.1,0,2152
03/27/1998,338.4,338.4,338.4,338.4,0,2152
03/30/1998,342.8,342.8,337.4,337.4,0,2152
03/31/1998,336.9,336.9,336.9,336.9,0,2152
04/01/1998,335.5,335.5,335.5,335.5,0,2152
04/02/1998,337.7,337.7,337.7,337.7,0,2152
04/03/1998,343.0,343.0,343.0,343.0,0,2152
04/06/1998,344.1,344.1,344.1,344.1,0,2152
04/07/1998,344.7,344.7,344.7,344.7,0,2152
04/08/1998,349.0,349.0,343.8,343.8,0,2152
04/09/1998,343.0,343.0,343.0,343.0,0,2152
04/13/1998,345.9,345.9,345.9,345.9,0,2152
04/14/1998,343.5,343.5,343.5,343.5,0,2152
