"Date","Open","High","Low","Close","Volume","OpenInt"
05/01/2001,265.3,265.3,265.3,265.3,0,0
05/02/2001,266.3,266.3,266.3,266.3,0,0
05/03/2001,267.2,267.2,267.2,267.2,0,0
05/04/2001,266.9,266.9,266.9,266.9,0,0
05/07/2001,266.9,266.9,266.9,266.9,0,25
05/08/2001,265.9,265.9,265.9,265.9,0,0
05/09/2001,270.9,270.9,270.9,270.9,0,0
05/10/2001,270.0,270.0,270.0,270.0,0,0
05/11/2001,268.9,268.9,268.9,268.9,0,0
05/14/2001,269.2,269.2,269.2,269.2,0,0
05/15/2001,269.0,269.0,269.0,269.0,0,0
05/16/2001,272.8,272.8,272.8,272.8,0,0
05/17/2001,274.5,274.5,274.5,274.5,550,550
05/18/2001,288.4,288.4,288.4,288.4,0,227
05/21/2001,286.3,286.3,286.3,286.3,1,309
05/22/2001,286.0,286.0,286.0,286.0,0,0
05/23/2001,284.5,284.5,284.5,284.5,0,0
05/24/2001,279.9,279.9,279.9,279.9,0,0
05/25/2001,278.7,278.7,278.7,278.7,300,300
05/29/2001,274.6,274.6,274.6,274.6,0,0
05/30/2001,266.6,266.6,266.6,266.6,0,0
05/31/2001,266.1,266.1,266.1,266.1,0,0
06/01/2001,267.2,267.2,267.2,267.2,0,0
06/04/2001,265.7,265.7,265.7,265.7,0,0
06/05/2001,266.4,266.4,266.4,266.4,0,0
06/06/2001,266.3,266.3,266.3,266.3,0,0
06/07/2001,266.6,266.6,266.6,266.6,0,0
06/08/2001,273.9,273.9,273.9,273.9,0,0
06/11/2001,268.4,268.4,268.4,268.4,0,0
06/12/2001,272.1,272.1,272.1,272.1,0,0
06/13/2001,272.6,272.6,272.6,272.6,0,0
06/14/2001,275.9,275.9,275.9,275.9,0,0
06/15/2001,271.8,271.8,271.8,271.8,0,0
06/18/2001,272.9,272.9,272.9,272.9,0,0
06/19/2001,273.9,273.9,273.9,273.9,0,0
06/20/2001,272.9,272.9,272.9,272.9,0,0
06/21/2001,273.1,273.1,273.1,273.1,0,0
06/22/2001,272.8,272.8,272.8,272.8,0,0
06/25/2001,274.2,274.2,274.2,274.2,0,300
06/26/2001,276.5,276.5,276.5,276.5,0,0
06/27/2001,272.1,272.1,272.1,272.1,0,0
06/28/2001,269.3,269.3,269.3,269.3,0,0
06/29/2001,270.6,270.6,270.6,270.6,0,0
07/02/2001,269.4,269.4,269.4,269.4,0,0
07/03/2001,267.6,267.6,267.6,267.6,0,0
07/05/2001,263.7,265.1,263.7,265.1,1,1
07/06/2001,265.9,265.9,265.9,265.9,0,0
07/09/2001,266.5,266.5,266.5,266.5,70,70
07/10/2001,266.2,266.2,266.2,266.2,0,0
07/11/2001,268.3,268.3,268.3,268.3,5,5
07/12/2001,266.6,266.6,266.6,266.6,0,0
07/13/2001,267.1,267.1,267.1,267.1,0,0
07/16/2001,266.9,266.9,266.9,266.9,0,0
07/17/2001,268.1,268.1,268.1,268.1,0,0
07/18/2001,270.4,270.4,270.4,270.4,5,5
07/19/2001,269.4,269.4,269.4,269.4,0,0
07/20/2001,269.9,269.9,269.9,269.9,5,5
07/23/2001,268.8,268.8,268.8,268.8,0,0
07/24/2001,269.7,269.7,269.7,269.7,0,0
07/25/2001,267.7,267.7,267.7,267.7,0,0
07/26/2001,266.2,266.2,266.2,266.2,0,0
07/27/2001,267.4,267.4,267.4,267.4,0,0
