"Date","Open","High","Low","Close","Volume","OpenInt"
04/05/2000,309.3,309.3,309.3,309.3,0,0
04/06/2000,308.2,308.2,308.2,308.2,0,0
04/07/2000,308.0,308.0,308.0,308.0,0,0
04/10/2000,309.5,309.5,309.5,309.5,0,0
04/11/2000,309.3,309.3,309.3,309.3,0,0
04/12/2000,309.4,309.4,309.4,309.4,0,0
04/13/2000,309.1,309.1,309.1,309.1,0,0
04/14/2000,310.5,310.5,310.5,310.5,0,0
04/17/2000,309.9,309.9,309.9,309.9,0,0
04/18/2000,308.7,308.7,308.7,308.7,0,0
04/19/2000,308.2,308.2,308.2,308.2,0,0
04/20/2000,307.2,307.2,307.2,307.2,0,0
04/24/2000,306.9,306.9,306.9,306.9,0,0
04/25/2000,305.5,305.5,305.5,305.5,0,0
04/26/2000,303.2,303.2,303.2,303.2,0,0
04/27/2000,304.6,304.6,304.6,304.6,0,0
04/28/2000,300.9,300.9,300.9,300.9,0,0
05/01/2000,301.0,301.0,301.0,301.0,0,0
05/02/2000,303.7,303.7,303.7,303.7,0,0
05/03/2000,306.3,306.3,306.3,306.3,0,0
05/04/2000,308.6,308.6,308.6,308.6,0,0
05/05/2000,307.8,307.8,307.8,307.8,0,0
05/08/2000,305.3,305.3,305.3,305.3,0,0
05/09/2000,305.9,305.9,305.9,305.9,0,0
05/10/2000,306.9,306.9,306.9,306.9,0,0
05/11/2000,304.9,304.9,304.9,304.9,0,0
05/12/2000,305.8,305.8,305.8,305.8,0,0
05/15/2000,305.5,305.5,305.5,305.5,0,0
05/16/2000,305.0,305.0,305.0,305.0,0,0
05/17/2000,302.7,302.7,302.7,302.7,0,0
05/18/2000,302.8,302.8,302.8,302.8,0,0
05/19/2000,303.6,303.6,303.6,303.6,0,0
05/22/2000,305.2,305.2,305.2,305.2,0,0
05/23/2000,303.7,303.7,303.7,303.7,0,0
05/24/2000,302.9,302.9,302.9,302.9,0,0
05/25/2000,299.5,299.5,299.5,299.5,0,0
05/26/2000,300.6,300.6,300.6,300.6,0,0
05/30/2000,301.2,301.2,301.2,301.2,0,0
05/31/2000,300.3,300.3,300.3,300.3,0,0
06/01/2000,300.7,300.7,300.7,300.7,0,0
06/02/2000,309.3,309.3,309.3,309.3,0,0
06/05/2000,313.4,313.4,313.4,313.4,0,0
06/06/2000,317.1,317.1,317.1,317.1,0,0
06/07/2000,315.6,315.6,315.6,315.6,0,0
06/08/2000,312.3,312.3,312.3,312.3,0,0
06/09/2000,311.9,311.9,311.9,311.9,0,0
06/12/2000,314.3,314.3,314.3,314.3,0,0
06/13/2000,313.3,313.3,313.3,313.3,0,0
06/14/2000,319.3,319.3,319.3,319.3,0,0
06/15/2000,316.9,316.9,316.9,316.9,0,0
06/16/2000,314.6,314.6,314.6,314.6,0,0
06/19/2000,311.7,311.7,311.7,311.7,0,0
06/20/2000,311.8,311.8,311.8,311.8,0,0
06/21/2000,311.5,311.5,311.5,311.5,0,0
06/22/2000,310.6,310.6,310.6,310.6,0,0
06/23/2000,308.0,308.0,308.0,308.0,0,0
06/26/2000,308.7,308.7,308.7,308.7,0,0
06/27/2000,311.7,311.7,311.7,311.7,0,0
06/28/2000,319.0,319.0,319.0,319.0,0,0
06/29/2000,315.4,315.4,315.4,315.4,0,0
06/30/2000,316.2,316.2,316.2,316.2,0,0
07/05/2000,309.3,309.3,309.3,309.3,0,0
07/06/2000,308.8,308.8,308.8,308.8,0,0
