"Date","Open","High","Low","Close","Volume","OpenInt"
07/01/2002,314.9,314.9,314.9,314.9,0,0
07/02/2002,313.7,313.7,313.7,313.7,0,0
07/03/2002,311.8,311.8,311.8,311.8,0,0
07/08/2002,313.1,313.1,313.1,313.1,0,0
07/09/2002,317.1,317.1,317.1,317.1,0,0
07/10/2002,317.0,317.0,315.7,315.7,1,1
07/11/2002,318.3,318.3,318.3,318.3,0,1
07/12/2002,316.6,316.6,316.6,316.6,0,1
07/15/2002,320.5,320.6,320.3,320.6,2,3
07/16/2002,319.6,320.5,318.2,318.2,3,2
07/17/2002,318.3,318.3,318.3,318.3,0,2
07/18/2002,317.7,317.7,317.7,317.7,0,2
07/19/2002,320.5,326.0,320.5,324.5,12,14
07/22/2002,323.7,325.0,323.7,324.2,5,18
07/23/2002,320.8,320.8,312.0,313.2,54,30
07/24/2002,309.0,312.0,309.0,312.0,5,30
07/25/2002,310.3,310.3,310.3,310.3,0,30
07/26/2002,309.6,309.6,303.8,303.8,1,31
07/29/2002,303.5,303.5,302.0,303.0,17,42
07/30/2002,304.0,307.5,304.0,304.4,22,39
07/31/2002,304.5,306.0,302.0,303.8,11,34
08/01/2002,303.5,304.8,303.5,304.6,7,126
08/02/2002,306.5,307.6,306.5,307.6,3,34
08/05/2002,308.3,308.3,308.3,308.3,0,34
08/06/2002,306.0,306.0,306.0,306.0,1,34
08/07/2002,312.8,314.8,312.8,314.8,10,30
08/08/2002,310.9,310.9,310.9,310.9,0,30
08/09/2002,313.2,314.7,313.2,314.7,1,30
08/12/2002,314.5,314.5,314.5,314.5,10,80
08/13/2002,314.8,314.8,314.4,314.4,7,30
08/14/2002,314.0,314.0,312.0,312.0,0,30
08/15/2002,312.8,314.5,311.8,314.5,2,31
08/16/2002,313.0,313.8,313.0,313.8,0,31
08/19/2002,312.0,312.0,306.1,306.1,2,30
08/20/2002,309.0,309.0,308.8,308.8,1,31
08/21/2002,307.7,307.7,307.7,307.7,0,31
08/22/2002,305.0,307.0,304.5,306.7,3,29
08/23/2002,306.0,306.7,304.8,306.7,0,29
08/26/2002,309.4,309.4,309.4,309.4,0,29
08/27/2002,312.3,312.3,312.3,312.3,1,28
08/28/2002,309.4,309.4,309.4,309.4,0,28
08/29/2002,312.0,312.9,312.0,312.9,17,20
08/30/2002,312.4,312.4,312.4,312.4,0,20
09/03/2002,312.5,313.4,312.5,313.4,36,19
09/04/2002,314.9,314.9,314.9,314.9,0,6
09/05/2002,318.2,318.2,318.2,318.2,0,2
09/06/2002,320.0,320.0,319.9,319.9,7,7
09/09/2002,321.3,321.3,321.3,321.3,0,7
09/10/2002,317.9,317.9,317.9,317.9,0,7
09/11/2002,316.6,316.6,316.6,316.6,0,7
09/12/2002,318.9,318.9,318.9,318.9,0,7
09/13/2002,319.0,319.0,316.6,316.6,0,7
09/16/2002,317.1,317.1,317.1,317.1,0,7
09/17/2002,317.0,317.0,317.0,317.0,0,7
09/18/2002,320.6,320.6,320.6,320.6,0,7
09/19/2002,322.6,322.6,322.6,322.6,0,7
09/20/2002,321.9,321.9,321.9,321.9,0,7
09/23/2002,323.0,323.0,323.0,323.0,7,7
09/24/2002,325.9,325.9,325.9,325.9,0,0
09/25/2002,322.2,322.2,322.2,322.2,0,0
09/26/2002,320.3,320.3,320.3,320.3,0,0
