"Date","Open","High","Low","Close","Volume","OpenInt"
12/04/2000,295.7,295.7,295.7,295.7,0,0
12/05/2000,295.0,295.0,295.0,295.0,0,0
12/06/2000,298.8,298.8,298.8,298.8,0,0
12/07/2000,297.6,297.6,297.6,297.6,0,0
12/08/2000,296.6,296.6,296.6,296.6,0,0
12/11/2000,294.6,294.6,294.6,294.6,0,0
12/12/2000,294.7,294.7,294.7,294.7,0,0
12/13/2000,292.2,292.2,292.2,292.2,0,0
12/14/2000,291.9,291.9,291.9,291.9,0,0
12/15/2000,292.3,292.3,292.3,292.3,0,0
12/18/2000,292.3,292.3,292.3,292.3,0,0
12/19/2000,292.5,292.5,292.5,292.5,0,0
12/20/2000,294.9,294.9,294.9,294.9,0,0
12/21/2000,295.8,295.8,295.8,295.8,0,0
12/22/2000,295.4,295.4,295.4,295.4,0,0
12/26/2000,295.8,295.8,295.8,295.8,0,0
12/27/2000,296.8,296.8,296.8,296.8,0,0
12/28/2000,293.6,293.6,293.6,293.6,0,0
12/29/2000,293.5,293.5,293.5,293.5,0,0
01/02/2001,289.1,289.1,289.1,289.1,0,0
01/03/2001,288.4,288.4,288.4,288.4,0,0
01/04/2001,286.6,286.6,286.6,286.6,0,0
01/05/2001,286.8,286.8,286.8,286.8,0,0
01/08/2001,286.4,286.4,286.4,286.4,0,0
01/09/2001,286.1,286.1,286.1,286.1,0,0
01/10/2001,283.4,283.4,283.4,283.4,0,0
01/11/2001,282.7,282.7,282.7,282.7,0,0
01/12/2001,283.4,283.4,283.4,283.4,0,0
01/16/2001,282.7,282.7,282.7,282.7,0,0
01/17/2001,282.2,282.2,282.2,282.2,0,0
01/18/2001,283.0,283.0,283.0,283.0,0,0
01/19/2001,283.1,283.1,283.1,283.1,0,0
01/22/2001,285.2,285.2,285.2,285.2,0,0
01/23/2001,285.0,285.0,285.0,285.0,0,0
01/24/2001,283.3,283.3,283.3,283.3,0,0
01/25/2001,283.5,283.5,283.5,283.5,0,0
01/26/2001,281.5,281.5,281.5,281.5,0,0
01/29/2001,281.3,281.3,281.3,281.3,0,0
01/30/2001,283.8,283.8,283.8,283.8,0,0
01/31/2001,283.6,283.6,283.6,283.6,0,0
02/01/2001,286.1,286.1,286.1,286.1,0,0
02/02/2001,285.0,285.0,285.0,285.0,0,0
02/05/2001,283.1,283.1,283.1,283.1,0,0
02/06/2001,281.1,281.1,281.1,281.1,0,0
02/07/2001,280.6,280.6,280.6,280.6,0,0
02/08/2001,278.1,278.1,278.1,278.1,0,0
02/09/2001,277.7,277.7,277.7,277.7,0,0
02/12/2001,278.2,278.2,278.2,278.2,0,0
02/13/2001,277.7,277.7,277.7,277.7,0,0
02/14/2001,276.8,276.8,276.8,276.8,0,0
02/15/2001,272.8,272.8,272.8,272.8,0,0
