"Date","Open","High","Low","Close","Volume","OpenInt"
01/05/1998,339.2,339.2,339.2,339.2,0,0
01/06/1998,337.7,337.7,337.7,337.7,0,0
01/07/1998,340.6,340.6,340.6,340.6,0,0
01/08/1998,336.6,336.6,336.6,336.6,0,0
01/09/1998,332.1,332.1,332.1,332.1,0,0
01/12/1998,330.6,330.6,330.6,330.6,0,0
01/13/1998,335.4,335.4,335.4,335.4,0,0
01/14/1998,334.4,334.4,334.4,334.4,0,0
01/15/1998,338.6,338.6,338.6,338.6,0,0
01/16/1998,343.4,343.4,343.4,343.4,0,0
01/20/1998,343.4,343.4,343.4,343.4,0,0
01/21/1998,345.1,345.1,345.1,345.1,0,0
01/22/1998,343.4,343.4,343.4,343.4,0,0
01/23/1998,352.6,352.6,352.6,352.6,0,0
01/26/1998,348.8,348.8,348.8,348.8,52,45
01/27/1998,353.1,353.1,353.1,353.1,0,45
01/28/1998,358.7,358.7,358.7,358.7,0,45
01/29/1998,354.5,354.5,354.5,354.5,0,45
01/30/1998,354.3,354.3,354.3,354.3,0,45
02/02/1998,356.6,356.6,356.6,356.6,0,45
02/03/1998,347.6,347.6,347.6,347.6,0,45
02/04/1998,352.9,352.9,352.9,352.9,0,45
02/05/1998,352.0,352.0,352.0,352.0,0,45
02/06/1998,351.4,351.4,351.4,351.4,0,45
02/09/1998,353.3,353.3,353.3,353.3,0,45
02/10/1998,353.5,353.5,353.5,353.5,0,45
02/11/1998,351.9,351.9,351.9,351.9,0,45
02/12/1998,350.2,350.2,350.2,350.2,0,45
02/13/1998,350.1,350.1,350.1,350.1,0,45
02/17/1998,347.9,347.9,347.9,347.9,0,45
02/18/1998,347.7,347.7,347.7,347.7,0,45
02/19/1998,350.1,350.1,350.1,350.1,0,45
02/20/1998,348.8,348.8,348.8,348.8,0,45
02/23/1998,344.7,344.7,344.7,344.7,0,45
02/24/1998,343.9,343.9,343.9,343.9,0,45
02/25/1998,344.2,344.2,344.2,344.2,0,45
02/26/1998,346.6,346.6,346.6,346.6,0,45
02/27/1998,351.4,351.4,351.4,351.4,0,45
03/02/1998,352.2,352.2,352.2,352.2,0,45
03/03/1998,350.2,350.2,350.2,350.2,0,45
03/04/1998,349.5,349.5,349.5,349.5,0,45
03/05/1998,346.9,346.9,346.9,346.9,0,45
03/06/1998,347.7,347.7,347.7,347.7,0,45
03/09/1998,347.0,347.0,347.0,347.0,10,55
03/10/1998,348.5,348.5,348.5,348.5,0,55
03/11/1998,347.2,347.2,347.2,347.2,0,55
