"Date","Open","High","Low","Close","Volume","OpenInt"
04/02/2001,43350.0,43350.0,43350.0,43350.0,0,0
04/03/2001,43330.0,43330.0,43330.0,43330.0,0,0
04/04/2001,43600.0,43600.0,43600.0,43600.0,0,0
04/05/2001,43730.0,43730.0,43730.0,43730.0,0,0
04/06/2001,43550.0,43550.0,43550.0,43550.0,0,0
04/09/2001,43350.0,43350.0,43350.0,43350.0,0,0
04/10/2001,43450.0,43450.0,43450.0,43450.0,0,0
04/11/2001,43830.0,43830.0,43830.0,43830.0,0,0
04/12/2001,43880.0,43880.0,43880.0,43880.0,0,0
04/16/2001,44600.0,44600.0,44600.0,44600.0,0,0
04/17/2001,43880.0,43880.0,43880.0,43880.0,0,0
04/18/2001,43850.0,43850.0,43850.0,43850.0,0,0
04/19/2001,44470.0,44470.0,44470.0,44470.0,0,0
04/20/2001,44600.0,44600.0,44600.0,44600.0,0,0
04/23/2001,44600.0,44600.0,44600.0,44600.0,0,0
04/24/2001,44730.0,44730.0,44730.0,44730.0,0,0
04/25/2001,43850.0,43850.0,43850.0,43850.0,0,0
04/26/2001,43970.0,43970.0,43970.0,43970.0,0,0
04/27/2001,43840.0,43840.0,43840.0,43840.0,40,40
04/30/2001,43420.0,43420.0,43420.0,43420.0,0,40
05/01/2001,43690.0,43690.0,43690.0,43690.0,0,40
05/02/2001,43790.0,43790.0,43790.0,43790.0,0,40
05/03/2001,43490.0,43490.0,43490.0,43490.0,0,40
05/04/2001,43460.0,43460.0,43460.0,43460.0,0,40
05/07/2001,43130.0,43130.0,43130.0,43130.0,0,40
05/08/2001,43230.0,43230.0,43230.0,43230.0,0,40
05/09/2001,44030.0,44030.0,44030.0,44030.0,0,40
05/10/2001,43400.0,43400.0,43400.0,43400.0,0,40
05/11/2001,43270.0,43270.0,43270.0,43270.0,0,40
05/14/2001,43490.0,43490.0,43490.0,43490.0,0,40
05/15/2001,43120.0,43120.0,43120.0,43120.0,0,40
05/16/2001,44550.0,44550.0,44550.0,44550.0,0,40
05/17/2001,44870.0,44870.0,44870.0,44870.0,0,40
05/18/2001,45690.0,45690.0,45690.0,45690.0,0,40
05/21/2001,45420.0,45420.0,45420.0,45420.0,0,40
05/22/2001,45520.0,45520.0,45520.0,45520.0,0,40
05/23/2001,45640.0,45640.0,45640.0,45640.0,0,40
05/24/2001,46450.0,46450.0,46040.0,46040.0,9,44
05/25/2001,45670.0,45670.0,45670.0,45670.0,0,42
05/29/2001,45240.0,45240.0,45240.0,45240.0,0,42
05/30/2001,44230.0,44230.0,44230.0,44230.0,40,41
05/31/2001,43960.0,43960.0,43960.0,43960.0,0,0
06/01/2001,44090.0,44090.0,44090.0,44090.0,0,0
06/04/2001,43200.0,43210.0,43200.0,43210.0,8,4
06/05/2001,43290.0,43290.0,43290.0,43290.0,0,0
06/06/2001,43280.0,43280.0,43280.0,43280.0,0,0
06/07/2001,43230.0,43230.0,43230.0,43230.0,0,17
06/08/2001,43580.0,43580.0,43580.0,43580.0,0,0
06/11/2001,43260.0,43260.0,43260.0,43260.0,0,0
06/12/2001,43650.0,43650.0,43650.0,43650.0,100,100
06/13/2001,44050.0,44050.0,44050.0,44050.0,0,0
06/14/2001,44600.0,44600.0,44600.0,44600.0,0,0
06/15/2001,43930.0,43930.0,43930.0,43930.0,0,0
06/18/2001,44150.0,44150.0,44150.0,44150.0,0,0
06/19/2001,44000.0,44000.0,43930.0,43930.0,2,1
06/20/2001,43380.0,43380.0,43380.0,43380.0,0,0
06/21/2001,43160.0,43160.0,43160.0,43160.0,9195,1
06/22/2001,42990.0,42990.0,42990.0,42990.0,0,0
06/25/2001,42940.0,42940.0,42940.0,42940.0,0,0
06/26/2001,43440.0,43440.0,43440.0,43440.0,0,0
06/27/2001,43050.0,43050.0,43050.0,43050.0,0,0
