"Date","Open","High","Low","Close","Volume","OpenInt"
10/29/1999,51580.0,51580.0,51580.0,51580.0,0,0
11/01/1999,52030.0,52030.0,52030.0,52030.0,0,0
11/02/1999,52070.0,52070.0,52070.0,52070.0,0,0
11/03/1999,52090.0,52090.0,52090.0,52090.0,0,0
11/04/1999,52040.0,52040.0,52040.0,52040.0,0,0
11/05/1999,50750.0,50750.0,50750.0,50750.0,0,0
11/08/1999,50660.0,50660.0,50660.0,50660.0,0,0
11/09/1999,51130.0,51130.0,51130.0,51130.0,0,0
11/10/1999,51550.0,51550.0,51550.0,51550.0,0,0
11/11/1999,51320.0,51320.0,51320.0,51320.0,0,0
11/12/1999,51090.0,51090.0,51090.0,51090.0,0,0
11/15/1999,51420.0,51420.0,51420.0,51420.0,0,0
11/16/1999,52110.0,52110.0,52110.0,52110.0,0,0
11/17/1999,51520.0,51520.0,51520.0,51520.0,0,0
11/18/1999,51960.0,51960.0,51960.0,51960.0,0,0
11/19/1999,51760.0,51760.0,51760.0,51760.0,0,0
11/22/1999,52530.0,52530.0,52530.0,52530.0,0,0
11/23/1999,53410.0,53410.0,53410.0,53410.0,0,0
11/24/1999,52820.0,52820.0,52820.0,52820.0,0,0
11/29/1999,52640.0,52640.0,52640.0,52640.0,0,0
11/30/1999,52960.0,52960.0,52960.0,52960.0,0,0
12/01/1999,52670.0,52670.0,52670.0,52670.0,0,0
12/02/1999,51840.0,51840.0,51840.0,51840.0,0,0
12/03/1999,51990.0,51990.0,51990.0,51990.0,0,0
12/06/1999,52090.0,52090.0,52090.0,52090.0,0,0
12/07/1999,52470.0,52470.0,52470.0,52470.0,0,0
12/08/1999,52190.0,52190.0,52190.0,52190.0,0,0
12/09/1999,52100.0,52100.0,52100.0,52100.0,0,0
12/10/1999,52120.0,52120.0,52120.0,52120.0,0,0
12/13/1999,52100.0,52100.0,52100.0,52100.0,0,0
12/14/1999,52650.0,52650.0,52650.0,52650.0,0,0
12/15/1999,52560.0,52560.0,52560.0,52560.0,0,0
12/16/1999,52810.0,52810.0,52810.0,52810.0,0,0
12/17/1999,52870.0,52870.0,52870.0,52870.0,0,0
12/20/1999,52640.0,52640.0,52640.0,52640.0,0,0
12/21/1999,52300.0,52300.0,52300.0,52300.0,0,0
12/22/1999,53070.0,53070.0,53070.0,53070.0,0,0
12/23/1999,52890.0,52890.0,52890.0,52890.0,0,0
12/27/1999,53010.0,53010.0,53010.0,53010.0,0,0
12/28/1999,52900.0,52900.0,52900.0,52900.0,0,0
12/29/1999,54710.0,54710.0,54710.0,54710.0,0,0
12/30/1999,55090.0,55090.0,55090.0,55090.0,0,0
01/04/2000,54320.0,54320.0,54320.0,54320.0,0,0
01/05/2000,52820.0,52820.0,52820.0,52820.0,0,0
01/06/2000,52430.0,52430.0,52430.0,52430.0,0,0
01/07/2000,52710.0,52710.0,52710.0,52710.0,0,0
01/10/2000,52690.0,52690.0,52690.0,52690.0,0,0
01/11/2000,52750.0,52750.0,52750.0,52750.0,0,0
01/12/2000,52410.0,52410.0,52410.0,52410.0,0,0
01/13/2000,52730.0,52730.0,52730.0,52730.0,0,0
01/14/2000,52720.0,52720.0,52720.0,52720.0,0,0
01/18/2000,52900.0,52900.0,52900.0,52900.0,0,0
01/19/2000,53010.0,53010.0,53010.0,53010.0,0,0
01/20/2000,53590.0,53590.0,53590.0,53590.0,0,0
